time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,11,6,1,1
2026-09-04 00:00:00+00:00,6,5,0,0
2026-09-05 00:00:00+00:00,42,5,0,0
2026-09-06 00:00:00+00:00,13,4,0,0
2026-09-07 00:00:00+00:00,20,10,0,0
2026-09-08 00:00:00+00:00,1,1,1,1
2026-09-09 00:00:00+00:00,2,2,4,1
2026-09-10 00:00:00+00:00,17,6,0,0
2026-09-11 00:00:00+00:00,4,4,12,3
2026-09-12 00:00:00+00:00,3,3,2,2
2026-09-13 00:00:00+00:00,2,2,3,1
2026-09-14 00:00:00+00:00,30,19,0,0
2026-09-15 00:00:00+00:00,6,6,0,0
2026-09-16 00:00:00+00:00,14,8,0,0
